"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled","msLevel","filename"
185.10722917546,185.107162475586,185.107360839844,142.036,135.161,144.564,134017.773943638,124290.773329463,23745.990234375,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
326.378095999235,326.377746582031,326.378234863281,140.585,132.635,144.564,416540.640419054,398469.197905583,65769.7578125,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
163.079417053639,163.079376220703,163.079605102539,3.05013,0.116381,8.31038,950292.608457425,732099.677886426,131029.046875,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
120.972282105102,120.972206115723,120.972412109375,143.3,138.056,148.58,281875.70755957,209762.473186813,54497.29296875,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
104.057496936678,104.057395935059,104.057571411133,152.555,147.316,159.061,262437.816884766,229456.996390994,49881.48046875,7,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.211388161911,218.211303710938,218.211502075195,114.153,110.135,122.152,2272155.27049479,2229560.47137614,207796.09375,30,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.211481935693,218.21142578125,218.21159362793,3.05013,0.116381,7.04338,273891.448831005,247374.143232925,39824.75,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.211717077927,218.211654663086,218.211883544922,140.585,132.635,145.827,721200.165098438,674908.121820285,71497.65625,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.211413217852,218.211288452148,218.211532592773,105.079,101.057,110.135,1435774.82853348,1402678.09388288,185055.609375,26,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
218.211451388628,218.211273193359,218.211624145508,127.393,122.152,132.635,1188846.22595019,1151224.29076251,146289.796875,21,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
185.107309633891,185.107070922852,185.107528686523,155.083,151.108,160.325,132445.533129464,121357.346654341,22083.3203125,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
74.0964185652561,74.0964050292969,74.0964279174805,149.844,142.036,153.819,4070612.78577777,4070599.69355555,375646.4375,375645,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
74.0964287351953,74.0964126586914,74.0964431762695,136.424,132.635,142.036,2580843.66657813,2580834.26557813,324998.71875,324998,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
131.081391535005,131.081283569336,131.081466674805,155.083,152.555,159.061,83444.9623101563,83439.7575101563,17851.970703125,17851,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
136.112120974014,136.112106323242,136.11213684082,26.5685,0.116381,123.416,24664391.5000037,23175362.0570638,322465.53125,18,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
103.052621956122,103.052528381348,103.052742004395,157.797,148.58,163.226,197665.651018466,178535.89721245,25119.556640625,3,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
468.223266695806,468.222351074219,468.223571777344,169.736,165.756,172.493,240004.980248047,208827.798991067,56592.48046875,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
203.955646026433,203.955596923828,203.955718994141,180.27,176.289,184.25,148839.081458008,133360.501184074,25538.25390625,3,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
372.347302779511,372.346710205078,372.347839355469,184.25,179.005,192.217,281666.537683594,262232.347941633,44788.95703125,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
226.93637765974,226.936157226562,226.936569213867,187.151,147.316,204.018,1235959.12785747,1052007.13159453,71013.7578125,6,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
